RESULT_TYPE,NO_FILTER,FILTER_1,FILTER_2,FILTER_3,FILTER_4,FILTER_5,FILTER_6,FILTER_7,FILTER_8,FILTER_9,FILTER_10,FILTER_11,FILTER_12,FILTER_13,FILTER_14,FILTER_15,FILTER_16,FILTER_17,FILTER_18,FILTER_19,FILTER_20,FILTER_21,FILTER_22,FILTER_23,FILTER_24
UPPER,0.00000,5.00000,10.00000,15.00000,0.00000,5.00000,10.00000,15.00000,0.00000,5.00000,10,15,0,5,10,15,20,30,40,20,30,40,20,30,40
LOWER,0.00000,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,10.00000,10.00000,10,10,15,15,15,15,20,20,20,30,30,30,40,40,40
CONC.ORIG,0.26980,0.26980,0.26800,0.26800,0.26980,0.26980,0.26800,0.26800,0.26980,0.26980,0.268,0.268,0.2698,0.2698,0.268,0.268,0.26799,0.26619,0.26799,0.26799,0.26439,0.26799,0.26799,0.26439,0.26799
CONC.SPE.,0.26980,0.26980,0.26800,0.26800,0.26980,0.26980,0.26800,0.26800,0.26980,0.26980,0.268,0.268,0.2698,0.2698,0.268,0.268,0.26799,0.26619,0.26799,0.26799,0.26439,0.26799,0.26799,0.26439,0.26799
CONC.TON.,0.29680,0.60970,0.60970,0.60970,0.60790,0.60790,0.60970,0.60970,0.60790,0.60790,0.6079,0.6097,0.6097,0.6097,0.6079,0.6079,0.61331,0.60072,0.60432,0.61151,0.60072,0.60432,0.61331,0.60072,0.60252
CONC.TEM.,0.23740,0.23740,0.23740,0.23740,0.23740,0.23740,0.23740,0.23740,0.23740,0.23740,0.2374,0.2374,0.2374,0.2374,0.2374,0.2374,0.23741,0.23741,0.23741,0.23741,0.23741,0.23741,0.23741,0.23741,0.23741
CONC.MED.ORIG,0.23740,0.23920,0.24100,0.23740,0.23740,0.23920,0.24100,0.23920,0.23920,0.23920,0.241,0.2392,0.2392,0.2392,0.241,0.2392,0.23921,0.24101,0.23381,0.23921,0.24101,0.23201,0.23741,0.24101,0.23201
CONC.MED.SPE.,0.23740,0.23920,0.24100,0.23740,0.23740,0.23920,0.24100,0.23920,0.23920,0.23920,0.241,0.2392,0.2392,0.2392,0.241,0.2392,0.23921,0.24101,0.23381,0.23921,0.24101,0.23201,0.23741,0.24101,0.23201
CONC.MED.TON.,0.31650,0.51800,0.51620,0.50540,0.51980,0.51980,0.51980,0.50540,0.51980,0.52160,0.5198,0.5072,0.5198,0.5198,0.5198,0.5072,0.50719,0.5036,0.5018,0.5054,0.50899,0.5036,0.51259,0.51619,0.5036
CONC.MED.TEM.,0.21220,0.21220,0.21220,0.21220,0.21220,0.21220,0.21220,0.21220,0.21220,0.21220,0.2122,0.2122,0.2122,0.2122,0.2122,0.2122,0.21223,0.21223,0.21223,0.21223,0.21223,0.21223,0.21223,0.21223,0.21223
ORIG Spectral Centroid,0.35610,0.35610,0.35610,0.36150,0.35790,0.35790,0.35790,0.36150,0.35970,0.35790,0.3579,0.3615,0.3579,0.3579,0.3579,0.3633,0.36331,0.36511,0.3741,0.36151,0.36691,0.3705,0.36151,0.36511,0.3705
ORIG Spectral Spread,0.45680,0.45860,0.45680,0.46220,0.45680,0.45860,0.46040,0.46040,0.45680,0.45860,0.4604,0.4622,0.4586,0.4586,0.4604,0.464,0.46763,0.45504,0.45504,0.46763,0.45863,0.45683,0.46583,0.45863,0.45683
ORIG Spectral Rolloff,0.32730,0.32730,0.32550,0.32370,0.32730,0.32730,0.32730,0.32550,0.32730,0.32730,0.3273,0.3273,0.3291,0.3273,0.3273,0.3273,0.32734,0.32734,0.32554,0.32914,0.32194,0.32374,0.32914,0.32554,0.32554
ORIG Spectral Decrease,0.44420,0.45680,0.45860,0.48020,0.44420,0.45680,0.46040,0.48200,0.44420,0.45860,0.4604,0.4802,0.4442,0.4586,0.4604,0.4802,0.46942,0.44065,0.44065,0.46942,0.44245,0.44245,0.46763,0.44424,0.43885
ORIG Spectral Flux,0.55940,0.55940,0.55760,0.55400,0.55940,0.55940,0.55760,0.55400,0.55940,0.55940,0.5576,0.554,0.5594,0.5594,0.5576,0.554,0.55396,0.55576,0.55576,0.55396,0.55576,0.55576,0.55396,0.55576,0.55576
ORIG Spectral Crest Factor,0.61870,0.61690,0.61870,0.61870,0.61690,0.61510,0.61870,0.61870,0.61690,0.61510,0.6151,0.6187,0.6169,0.6151,0.6151,0.6169,0.6223,0.61871,0.61691,0.61871,0.61691,0.61691,0.61871,0.61871,0.61691
ORIG Spectral Flatness,0.31830,0.66550,0.66550,0.66550,0.66550,0.66550,0.66550,0.66550,0.66550,0.66550,0.6655,0.6655,0.6655,0.6655,0.6655,0.6655,0.66547,0.66547,0.66547,0.66547,0.66547,0.66547,0.66547,0.66547,0.66547
ORIG Spectral Tonal Power Ratio,0.57730,0.57730,0.57730,0.57730,0.57730,0.57730,0.57730,0.57730,0.57730,0.57550,0.5773,0.5773,0.5755,0.5755,0.5755,0.5773,0.58094,0.57014,0.56115,0.58094,0.57014,0.56115,0.58094,0.57014,0.56115
ORIG Time Zero Crossing Rate,0.40470,0.40470,0.40470,0.40470,0.40470,0.40470,0.40470,0.40470,0.40470,0.40470,0.4047,0.4047,0.4047,0.4047,0.4047,0.4047,0.40468,0.40468,0.40468,0.40468,0.40468,0.40468,0.40468,0.40468,0.40468
ORIG Time Acf Coeff,0.55760,0.55760,0.55760,0.55760,0.55760,0.55760,0.55760,0.55760,0.55760,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.5576,0.55755,0.55755,0.55755,0.55755,0.55755,0.55755,0.55755,0.55755,0.55755
ORIG Time Max Acf,0.64750,0.64750,0.64750,0.64750,0.64750,0.64750,0.64750,0.64750,0.64750,0.6475,0.6475,0.6475,0.6475,0.6475,0.6475,0.6475,0.64748,0.64748,0.64748,0.64748,0.64748,0.64748,0.64748,0.64748,0.64748
CONC.ORIG,0.08270,0.20860,0.20680,0.20500,0.15830,0.20860,0.20680,0.20500,0.15830,0.2086,0.2068,0.205,0.1583,0.2086,0.2068,0.205,0.20324,0.20504,0.20504,0.20504,0.20504,0.20504,0.20504,0.20504,0.20683
CONC.SPE.,0.19780,0.23200,0.22300,0.22660,0.19780,0.23200,0.22660,0.22660,0.19780,0.232,0.2266,0.2266,0.1978,0.232,0.2266,0.2266,0.22842,0.23381,0.23201,0.22842,0.23381,0.23201,0.22842,0.23381,0.23201
CONC.TON.,0.28060,0.53420,0.53240,0.53240,0.53420,0.53420,0.53240,0.53240,0.53600,0.5342,0.5324,0.5324,0.5378,0.536,0.5342,0.5324,0.53777,0.53417,0.52878,0.53957,0.53237,0.52878,0.53957,0.53237,0.53058
CONC.TEM.,0.23920,0.23920,0.23920,0.23920,0.23920,0.23920,0.23920,0.23920,0.23920,0.2392,0.2392,0.2392,0.2392,0.2392,0.2392,0.2392,0.23921,0.23921,0.23921,0.23921,0.23921,0.23921,0.23921,0.23921,0.23921
CONC.MED.ORIG,0.06830,0.12590,0.12770,0.12590,0.09530,0.12590,0.12770,0.12590,0.09530,0.1259,0.1277,0.1259,0.0953,0.1259,0.1259,0.1259,0.1223,0.1205,0.1241,0.1223,0.1205,0.1241,0.1223,0.11691,0.1241
CONC.MED.SPE.,0.17270,0.21760,0.21220,0.20860,0.17270,0.21760,0.21220,0.21040,0.17270,0.2176,0.2122,0.2104,0.1727,0.2176,0.2122,0.2104,0.20504,0.21223,0.21043,0.20324,0.21403,0.21043,0.20324,0.21403,0.21043
CONC.MED.TON.,0.21040,0.44240,0.44600,0.44600,0.44600,0.44420,0.45140,0.44960,0.44600,0.4496,0.4514,0.4532,0.446,0.4478,0.4532,0.4532,0.44964,0.44424,0.44964,0.44784,0.44784,0.45504,0.45504,0.45504,0.45504
CONC.MED.TEM.,0.19960,0.19960,0.19960,0.19960,0.19960,0.19960,0.19960,0.19960,0.19960,0.1996,0.1996,0.1996,0.1996,0.1996,0.1996,0.1996,0.19964,0.19964,0.19964,0.19964,0.19964,0.19964,0.19964,0.19964,0.19964
ORIG Spectral Centroid,0.35610,0.35610,0.35430,0.35790,0.35430,0.35430,0.35430,0.35790,0.35610,0.3543,0.3543,0.3579,0.3561,0.3543,0.3525,0.3579,0.35612,0.36151,0.36691,0.35791,0.35971,0.36691,0.35971,0.35971,0.36691
ORIG Spectral Spread,0.45140,0.45320,0.45320,0.45320,0.45320,0.45500,0.45500,0.45500,0.45320,0.4514,0.455,0.4568,0.4532,0.4532,0.455,0.4568,0.45863,0.45144,0.45144,0.45863,0.44964,0.45324,0.45863,0.45324,0.45324
ORIG Spectral Rolloff,0.32190,0.32010,0.32010,0.32190,0.32370,0.32010,0.31830,0.32190,0.32190,0.3219,0.3219,0.3219,0.3219,0.3219,0.3183,0.3201,0.32374,0.32014,0.32554,0.32194,0.32194,0.32554,0.32374,0.32014,0.32914
ORIG Spectral Decrease,0.49460,0.46220,0.46400,0.47480,0.49460,0.46400,0.46400,0.47480,0.49460,0.4622,0.464,0.4748,0.4946,0.4622,0.464,0.4766,0.46043,0.44245,0.44245,0.46043,0.44245,0.44245,0.46403,0.44065,0.44245
ORIG Spectral Flux,0.55760,0.55760,0.55760,0.55580,0.55760,0.55580,0.55760,0.55580,0.55760,0.5558,0.5576,0.5558,0.5558,0.5558,0.5576,0.5558,0.55576,0.55755,0.55396,0.55576,0.55755,0.55396,0.55576,0.55755,0.55396
ORIG Spectral Crest Factor,0.62770,0.62590,0.62770,0.62590,0.62770,0.62590,0.62950,0.62590,0.62770,0.6259,0.6277,0.6277,0.6295,0.6277,0.6295,0.6277,0.6259,0.6223,0.6205,0.6277,0.6223,0.61871,0.63129,0.6205,0.6205
ORIG Spectral Flatness,0.31830,0.66550,0.66550,0.66550,0.66550,0.66550,0.66550,0.66550,0.66550,0.6655,0.6655,0.6655,0.6655,0.6655,0.6655,0.6655,0.66547,0.66547,0.66547,0.66547,0.66547,0.66547,0.66547,0.66547,0.66547
ORIG Spectral Tonal Power Ratio,0.57190,0.57190,0.57190,0.57190,0.57190,0.57190,0.57190,0.57190,0.57190,0.5719,0.5719,0.5719,0.5719,0.5719,0.5719,0.5719,0.57554,0.56655,0.55576,0.57554,0.56655,0.55576,0.57554,0.56655,0.55576
ORIG Time Zero Crossing Rate,0.39750,0.39750,0.39750,0.39750,0.39750,0.39750,0.39750,0.39750,0.39750,0.3975,0.3975,0.3975,0.3975,0.3975,0.3975,0.3975,0.39748,0.39748,0.39748,0.39748,0.39748,0.39748,0.39748,0.39748,0.39748
ORIG Time Acf Coeff,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,0.56295,0.56295,0.56295,0.56295,0.56295,0.56295,0.56295,0.56295,0.56295
ORIG Time Max Acf,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.6439,0.64388,0.64388,0.64388,0.64388,0.64388,0.64388,0.64388,0.64388,0.64388
